iter	RMSE
0	12.35084217
1	11.96160276
2	11.59063192
3	11.23424314
4	10.90179496
5	10.57808758
6	10.2659697
7	9.953180823
8	9.694288531
9	9.396790723
10	9.114194709
11	8.874214151
12	8.622799978
13	8.384455307
14	8.155038478
15	7.93078086
16	7.714665056
17	7.507713956
18	7.324771825
19	7.131518023
20	6.962377322
21	6.796961914
22	6.624353116
23	6.457363819
24	6.303825018
25	6.157609613
26	6.019275716
27	5.883194763
28	5.751224052
29	5.630780722
30	5.508383008
31	5.388759497
32	5.274683297
33	5.162631605
34	5.058199842
35	4.9746671
36	4.880574543
37	4.793307889
38	4.709026255
39	4.636636036
40	4.562057938
41	4.492534507
42	4.427630703
43	4.356949778
44	4.295757228
45	4.244453233
46	4.188749252
47	4.133984009
48	4.080921328
49	4.03258734
50	3.983997319
51	3.938903327
52	3.897845729
53	3.857241851
54	3.823557067
55	3.781503026
56	3.740798583
57	3.708460563
58	3.673023039
59	3.640536017
60	3.610343537
61	3.583029655
62	3.552799054
63	3.528757948
64	3.503019885
65	3.472393991
66	3.449542774
67	3.418155169
68	3.398866023
69	3.374401567
70	3.353442186
71	3.332355589
72	3.316147076
73	3.298954311
74	3.281017536
75	3.261294836
76	3.238497048
77	3.223934555
78	3.207158212
79	3.188533429
80	3.170974309
81	3.156936713
82	3.140560272
83	3.125662452
84	3.109047242
85	3.097595545
86	3.083180915
87	3.072681533
88	3.057476259
89	3.036138622
90	3.028383708
91	3.013968614
92	3.004056117
93	2.993357779
94	2.98112067
95	2.968810179
96	2.960893478
97	2.949540845
98	2.941387313
99	2.935885228
100	2.927992083
101	2.915968154
102	2.905986965
103	2.897737236
104	2.882330641
105	2.873562752
106	2.859998823
107	2.854145535
108	2.84545094
109	2.838878419
110	2.832470993
111	2.823948562
112	2.813823315
113	2.807285849
114	2.794151094
115	2.786531207
116	2.778441225
117	2.768031365
118	2.758197751
119	2.749988439
120	2.74091959
121	2.73502561
122	2.725240596
123	2.719737541
124	2.710214826
125	2.70264547
126	2.697017467
127	2.690106208
128	2.685427031
129	2.677868753
130	2.67103083
131	2.662593009
132	2.658068414
133	2.653309891
134	2.647806652
135	2.640301597
136	2.636524786
137	2.630646702
138	2.626738173
139	2.619429454
140	2.612991777
141	2.607771442
142	2.603851065
143	2.601100769
144	2.59721826
145	2.592047839
146	2.584796436
147	2.577958683
148	2.572543577
149	2.564952527
150	2.55909846
151	2.554884046
152	2.551042286
153	2.542095618
154	2.533776893
155	2.528203566
156	2.522602928
157	2.517548332
158	2.514789085
159	2.511674998
160	2.503255666
161	2.496918236
162	2.492369093
163	2.489245331
164	2.480878575
165	2.474985936
166	2.467926342
167	2.46470306
168	2.458887192
169	2.45414307
170	2.450364673
171	2.445901299
172	2.440215804
173	2.432204306
174	2.428778326
175	2.42226083
176	2.416307838
177	2.413481864
178	2.4099113
179	2.404315631
180	2.398638578
181	2.392913262
182	2.385215816
183	2.376884711
184	2.373033124
185	2.366588434
186	2.363038964
187	2.355991218
188	2.351927627
189	2.344218477
190	2.336619972
191	2.332341511
192	2.326648697
193	2.321614209
194	2.314661967
195	2.305492061
196	2.302410343
197	2.297986547
198	2.289976206
199	2.283208714
200	2.279557775
201	2.273432561
202	2.269495252
203	2.265182593
204	2.260685271
205	2.252362529
206	2.250060676
207	2.245967021
208	2.24143283
209	2.236762201
210	2.233201465
211	2.22759709
212	2.221567174
213	2.217639635
214	2.211811687
215	2.206840933
216	2.202729795
217	2.195155527
218	2.190627851
219	2.185995099
220	2.181289149
221	2.173580724
